time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
49428350,-0.166,-0.096,0.945,-29.785,162.015,78.19
49428360,-0.145,-0.112,0.919,-49.105,133.595,71.33
49428370,-0.142,-0.167,0.889,-63.315,106.925,66.745
49428380,-0.119,-0.214,0.856,-72.782,84.367,60.707
49428390,-0.085,-0.246,0.837,-78.417,67.742,52.64
49428400,-0.075,-0.293,0.836,-80.01,56.892,44.432
49428410,-0.102,-0.312,0.853,-79.975,47.845,35.052
49428420,-0.125,-0.337,0.855,-80.622,37.275,25.287
49428430,-0.225,-0.474,0.848,-66.92,22.207,29.452
49428440,-0.181,-0.382,0.931,-51.135,2.975,22.557
49428450,-0.15,-0.406,0.893,-52.15,-13.212,12.355
49428460,-0.176,-0.432,0.96,-38.99,-26.495,14.682
49428470,-0.119,-0.454,0.95,-38.955,-34.72,5.442
49428480,-0.125,-0.508,0.983,-26.302,-39.567,10.272
49428490,-0.142,-0.53,1.039,-11.095,-44.66,14.927
49428500,-0.143,-0.49,1.106,-0.56,-51.047,8.802
49428510,-0.132,-0.459,1.149,7.175,-58.922,-6.947
49428520,-0.069,-0.381,1.171,11.27,-66.692,-27.947
49428530,-0.033,-0.366,1.141,13.877,-76.475,-44.135
49428540,0.037,-0.341,1.124,20.475,-86.747,-56.297
49428550,0.101,-0.307,1.112,27.422,-99.365,-64.505
49428560,0.213,-0.266,1.063,33.442,-108.762,-70.77
49428570,0.365,-0.19,1.041,37.712,-110.635,-74.48
49428580,0.458,-0.105,1.046,38.115,-102.882,-75.075
49428590,0.519,0.011,1.043,28.7,-88.305,-76.037
49428600,0.542,0.071,1.019,14.21,-70.21,-75.565
49428610,0.558,0.082,0.985,-1.417,-50.977,-74.287
49428620,0.571,0.076,0.937,-19.757,-30.1,-69.912
49428630,0.538,0.046,0.897,-34.615,-9.047,-63.647
49428640,0.491,0.013,0.869,-43.522,10.5,-58.782
49428650,0.434,-0.025,0.846,-46.812,26.092,-52.465
49428660,0.364,-0.065,0.836,-41.772,36.942,-44.275
49428670,0.294,-0.122,0.822,-30.73,41.947,-35.857
49428670,0.233,-0.151,0.818,-16.012,42,-30.45
49428690,0.17,-0.162,0.831,-1.295,37.222,-30.327
49428690,0.123,-0.149,0.834,9.205,27.912,-33.915
49428710,0.084,-0.165,0.852,18.27,14.402,-38.08
49428710,0.069,-0.182,0.885,19.127,-1.137,-42.052
49428730,0.072,-0.203,0.897,11.13,-15.732,-46.935
49428730,0.112,-0.237,0.907,0.787,-25.462,-53.69
49428750,0.159,-0.255,0.924,-11.077,-28.542,-59.097
49428750,0.202,-0.266,0.931,-25.987,-25.13,-62.65
49428760,0.233,-0.313,0.927,-39.165,-16.257,-66.71
49428770,0.257,-0.36,0.92,-47.705,-4.287,-68.74
49428780,0.267,-0.389,0.908,-50.96,8.89,-65.327
49428790,0.249,-0.412,0.91,-49.07,20.965,-58.152
49428800,0.223,-0.421,0.909,-43.68,31.115,-51.345
49428810,0.184,-0.422,0.927,-37.555,36.26,-45.78
49428820,0.15,-0.415,0.937,-32.27,36.225,-42.962
49428830,0.092,-0.443,0.914,-26.285,29.365,-43.295
49428840,0.055,-0.428,0.937,-19.04,17.325,-48.737
49428850,0.047,-0.414,0.95,-10.5,-1.12,-56.927
49428860,0.109,-0.409,0.917,-3.15,-21.472,-66.78
49428870,0.155,-0.391,0.911,4.007,-41.317,-74.357
49428880,0.205,-0.355,0.913,8.872,-57.032,-81.55
49428890,0.283,-0.316,0.913,12.757,-68.442,-84.49
49428900,0.329,-0.301,0.888,14.437,-73.045,-79.922
49428910,0.372,-0.276,0.893,17.272,-70.315,-72.677
49428920,0.418,-0.258,0.886,19.67,-59.22,-64.155
49428930,0.449,-0.204,0.889,23.012,-42.35,-52.185
49428940,0.444,-0.144,0.917,21.052,-21.122,-36.12
49428950,0.394,-0.142,0.94,14.997,0,-16.362
49428960,0.358,-0.154,0.913,6.282,21.507,2.467
49428970,0.302,-0.202,0.897,2.572,42.332,18.795
49428980,0.251,-0.247,0.87,4.34,64.855,29.89
49428990,0.2,-0.254,0.853,10.43,87.272,34.527
49429000,0.121,-0.224,0.855,17.29,106.54,32.935
49429010,0.019,-0.208,0.882,21.105,118.055,26.67
49429010,-0.07,-0.177,0.895,20.072,120.172,17.622
49429030,-0.156,-0.17,0.92,16.607,111.3,8.435
49429030,-0.216,-0.167,0.929,11.882,93.555,0.385
49429050,-0.23,-0.175,0.913,6.457,69.86,-6.772
49429050,-0.219,-0.173,0.91,4.392,45.045,-9.87
49429070,-0.182,-0.157,0.889,0.805,21.612,-11.882
49429070,-0.13,-0.163,0.877,0.612,2.712,-12.985
49429080,-0.039,-0.134,0.862,-1.487,-8.802,-14.595
49429090,0.018,-0.131,0.873,-3.535,-13.842,-13.457
49429100,0.092,-0.117,0.887,-9.222,-12.39,-11.392
49429110,0.123,-0.163,0.884,-13.072,-6.772,-2.905
49429120,0.148,-0.2,0.889,-13.405,3.57,9.905
49429130,0.164,-0.236,0.887,-9.887,18.182,24.465
49429140,0.173,-0.256,0.9,0.385,36.452,38.325
49429150,0.157,-0.254,0.913,10.885,56.105,48.265
49429160,0.101,-0.25,0.941,19.67,74.252,51.695
49429170,0.016,-0.237,0.978,23.677,86.082,48.37
49429180,-0.065,-0.258,1.003,22.155,88.865,41.142
49429190,-0.122,-0.3,1.017,20.335,81.357,32.287
49429200,-0.16,-0.366,1.02,22.225,66.815,24.43
49429210,-0.166,-0.4,1.014,27.055,47.425,18.655
49429220,-0.136,-0.408,0.979,36.05,28.28,13.3
49429230,-0.079,-0.365,0.979,49.997,12.915,9.52
49429240,-0.008,-0.276,0.969,54.285,3.797,10.062
49429250,0.006,-0.241,0.917,50.137,1.435,10.797
49429260,0.023,-0.23,0.879,45.447,7.577,9.8
49429270,0.055,-0.191,0.848,40.582,17.15,13.142
49429280,0.061,-0.124,0.834,29.925,31.78,18.13
49429290,0.042,-0.103,0.87,16.432,48.947,23.047
49429300,-0.021,-0.146,0.862,5.81,69.772,28.84
49429310,-0.07,-0.186,0.877,4.147,87.57,29.907
49429320,-0.178,-0.206,0.901,11.252,99.295,29.942
49429330,-0.308,-0.15,0.96,24.132,100.012,29.032
49429340,-0.409,-0.074,1.008,34.125,88.217,25.55
49429350,-0.421,-0.024,1.066,43.19,65.257,20.352
49429360,-0.371,-0.042,1.07,46.27,37.957,14.28
49429370,-0.345,-0.049,1.077,51.415,10.482,5.81
49429380,-0.332,-0.025,1.102,55.58,-15.277,-0.945
49429390,-0.165,-0.003,1.134,55.072,-35.122,-7.507
