#Format version: 1.0,,,,,,
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
37466020,-0.77,0.059,0.651,-0.647,-15.575,1.855
37466030,-0.77,0.061,0.656,-0.595,-15.995,2.835
37466040,-0.76,0.063,0.666,-0.997,-16.012,3.675
37466050,-0.735,0.053,0.681,-1.242,-14.665,4.025
37466060,-0.709,0.042,0.648,-0.962,-12.46,3.587
37466070,-0.707,0.054,0.651,0.577,-8.4,3.045
37466080,-0.721,0.061,0.673,1.312,-4.27,2.257
37466090,-0.745,0.061,0.67,0.962,-0.717,0.997
37466100,-0.761,0.054,0.656,0.91,1.89,-0.56
37466110,-0.77,0.058,0.65,1.872,3.132,-2.012
37466120,-0.78,0.064,0.654,2.31,2.432,-2.957
37466130,-0.788,0.065,0.649,1.522,0.14,-3.325
37466140,-0.789,0.066,0.652,0.892,-2.397,-2.747
37466150,-0.79,0.062,0.653,0.612,-5.512,-1.54
37466160,-0.789,0.061,0.66,0.42,-8.662,-0.385
37466170,-0.783,0.06,0.68,-0.122,-11.637,0.542
37466180,-0.765,0.057,0.686,-1.102,-13.947,1.26
37466190,-0.732,0.053,0.679,-1.767,-13.685,1.942
37466200,-0.697,0.045,0.665,-1.557,-11.322,2.03
37466210,-0.681,0.036,0.655,-0.997,-7.157,1.487
37466220,-0.675,0.038,0.64,-0.07,-1.4,0.472
37466230,-0.727,0.031,0.605,0.875,5.687,-1.015
37466240,-0.829,0.055,0.597,2.415,5.74,-3.745
37466250,-0.887,0.084,0.671,2.1,-0.7,-6.72
37466260,-0.851,0.075,0.685,-0.63,-6.947,-8.977
37466260,-0.781,0.043,0.663,-2.94,-9.432,-9.047
37466280,-0.745,0.028,0.653,-0.91,-8.68,-7.35
37466280,-0.737,0.055,0.662,1.277,-7.472,-4.445
37466300,-0.749,0.073,0.683,1.855,-1.942,-0.7
37466300,-0.778,0.064,0.676,1.26,1.277,2.24
37466320,-0.818,0.063,0.666,1.61,0.612,3.797
37466320,-0.824,0.078,0.671,3.517,-1.417,3.535
37466330,-0.808,0.08,0.663,2.187,-7.525,2.625
37466340,-0.766,0.076,0.658,1.47,-13.055,0.735
37466350,-0.74,0.065,0.654,-0.017,-15.767,-0.28
37466360,-0.726,0.066,0.68,0.595,-16.082,-0.157
37466370,-0.702,0.055,0.71,0.472,-14.07,0.77
37466380,-0.658,0.034,0.704,1.015,-10.115,1.452
37466390,-0.633,0.027,0.669,1.89,-4.567,2.572
37466400,-0.653,0.027,0.654,4.2,2.397,3.692
37466410,-0.717,0.04,0.644,5.337,7.945,3.64
37466420,-0.779,0.062,0.65,5.897,9.992,2.1
37466430,-0.806,0.067,0.656,4.952,9.397,0.122
37466440,-0.817,0.062,0.651,3.342,6.405,-1.767
37466450,-0.821,0.066,0.646,2.485,1.505,-2.432
37466460,-0.819,0.072,0.646,1.96,-4.182,-1.767
37466470,-0.814,0.073,0.65,0.647,-10.465,-0.63
37466480,-0.79,0.067,0.679,-1.207,-16.712,0.262
37466490,-0.738,0.056,0.687,-3.377,-19.477,1.54
37466500,-0.679,0.04,0.678,-4.427,-18.585,3.622
37466510,-0.635,0.033,0.663,-3.99,-12.88,5.355
37466520,-0.664,0.042,0.599,-2.327,-5.057,5.39
37466530,-0.767,0.08,0.622,-0.052,-1.085,3.832
37466540,-0.836,0.093,0.686,-0.437,-1.435,0.385
37466550,-0.863,0.084,0.706,-2.24,-5.355,-3.64
37466560,-0.813,0.073,0.704,-2.852,-8.225,-6.387
37466570,-0.757,0.054,0.68,-2.117,-8.645,-5.967
37466580,-0.732,0.053,0.67,-1.435,-9.362,-4.13
37466580,-0.717,0.065,0.677,-1.12,-9.432,-1.242
37466600,-0.695,0.068,0.682,-0.875,-7.787,2.03
37466600,-0.7,0.058,0.689,-0.647,-4.935,4.62
37466620,-0.726,0.064,0.657,0.017,-2.957,6.387
37466620,-0.764,0.069,0.667,0.927,-0.402,7.385
37466640,-0.808,0.086,0.681,1.207,-1.05,6.475
37466640,-0.828,0.098,0.689,0.56,-4.375,4.252
37466660,-0.791,0.083,0.716,-0.21,-7.542,1.925
37466660,-0.704,0.057,0.696,-1.207,-8.732,0.945
37466670,-0.65,0.036,0.654,-0.84,-6.685,2.275
37466680,-0.64,0.041,0.635,0.892,-2.38,4.585
37466690,-0.69,0.045,0.635,1.295,2.345,6.37
37466700,-0.755,0.049,0.678,0.507,3.762,6.107
37466710,-0.781,0.054,0.691,-0.682,3.902,4.462
37466720,-0.776,0.061,0.667,-0.577,3.237,2.73
37466730,-0.76,0.07,0.649,-0.07,1.697,0.717
37466740,-0.761,0.07,0.647,-0.595,0.892,-1.4
37466750,-0.772,0.067,0.67,-1.575,-0.402,-3.08
37466760,-0.755,0.065,0.685,-2.152,-2.257,-3.587
37466770,-0.723,0.056,0.681,-2.327,-2.94,-2.712
37466780,-0.708,0.053,0.667,-2.31,-1.19,-0.962
37466790,-0.72,0.053,0.657,-2.047,1.19,0.682
37466800,-0.743,0.054,0.636,-1.592,2.642,1.085
37466810,-0.784,0.068,0.575,-1.102,0.875,0.385
37466820,-0.842,0.088,0.608,-0.49,-5.04,-1.19
37466830,-0.864,0.086,0.679,-2.765,-13.125,-3.797
37466840,-0.829,0.083,0.728,-5.512,-18.742,-5.757
37466850,-0.76,0.055,0.716,-5.372,-19.005,-5.057
37466860,-0.738,0.03,0.673,-3.01,-17.325,-2.835
37466870,-0.738,0.043,0.664,-1.032,-16.117,-0.245
37466880,-0.714,0.059,0.668,-0.577,-14.7,2.59
37466890,-0.689,0.061,0.677,-1.627,-14.56,5.04
37466900,-0.675,0.045,0.688,-2.957,-11.462,6.247
37466910,-0.695,0.033,0.678,-2.292,-5.67,6.142
37466920,-0.747,0.044,0.681,0.192,-1.295,5.302
37466930,-0.789,0.075,0.681,1.82,0.105,3.167
37466940,-0.797,0.095,0.678,1.837,-1.995,0.455
37466950,-0.792,0.096,0.687,0.542,-6.405,-1.82
37466960,-0.791,0.085,0.684,-1.242,-10.605,-2.345
37466970,-0.783,0.079,0.682,-1.837,-14.122,-0.822
37466980,-0.745,0.087,0.709,-1.575,-16.397,2.065
37466990,-0.687,0.055,0.756,-2.502,-15.75,4.637
37467000,-0.603,0.035,0.696,-3.482,-11.917,5.88
37467010,-0.588,0.037,0.659,-1.242,-4.112,8.277
37467010,-0.661,0.042,0.661,1.172,3.815,9.695
37467030,-0.749,0.053,0.667,0.927,9.152,7.962
37467030,-0.797,0.061,0.673,0.245,10.097,4.585
37467050,-0.797,0.065,0.674,0.63,7.367,1.05
37467050,-0.773,0.066,0.656,0.42,3.552,-2.03
37467060,-0.763,0.066,0.654,-0.7,0.49,-3.85
37467070,-0.764,0.075,0.664,-1.452,-1.697,-3.92
37467080,-0.771,0.071,0.676,-1.592,-4.48,-2.45
37467090,-0.771,0.059,0.673,-1.697,-7.927,-0.787
37467100,-0.753,0.049,0.702,-2.222,-11.48,0.28
37467110,-0.707,0.045,0.734,-3.43,-14.507,1.347
37467120,-0.635,0.043,0.71,-3.99,-13.265,2.415
37467130,-0.587,0.035,0.653,-2.38,-6.037,2.45
37467140,-0.653,0.038,0.527,0.297,1.312,0.665
37467150,-0.821,0.091,0.552,3.115,3.115,-2.17
37467160,-0.92,0.116,0.7,1.592,-2.73,-6.527
37467170,-0.917,0.096,0.774,-3.675,-12.967,-10.5
37467180,-0.859,0.056,0.748,-6.492,-22.802,-11.34
37467190,-0.771,0.043,0.702,-4.445,-28.262,-8.575
37467200,-0.693,0.047,0.703,-3.325,-28.577,-3.867
37467210,-0.626,0.059,0.708,-3.657,-26.022,1.12
37467220,-0.596,0.05,0.708,-3.78,-19.04,5.6
37467230,-0.622,0.039,0.707,-1.872,-11.375,9.432
37467240,-0.666,0.048,0.717,0.122,-4.252,10.71
37467250,-0.709,0.072,0.703,1.365,1.68,10.115
37467260,-0.753,0.097,0.683,2.467,3.727,8.12
37467270,-0.796,0.103,0.686,2.905,1.68,4.252
37467280,-0.806,0.105,0.701,2.152,-2.135,-0.822
37467290,-0.769,0.084,0.744,0.437,-5.495,-3.482
37467300,-0.696,0.044,0.727,-1.295,-7.875,-3.115
37467310,-0.629,0.033,0.689,-0.647,-6.072,-0.7
37467320,-0.623,0.037,0.672,0.98,-3.22,2.905
37467330,-0.668,0.049,0.688,1.435,1.417,6.16
37467330,-0.713,0.054,0.697,0.56,3.815,7.735
37467350,-0.72,0.06,0.7,0.507,4.392,7.84
37467350,-0.708,0.054,0.691,0.577,3.885,6.632
37467370,-0.712,0.055,0.687,0.542,4.532,4.147
37467370,-0.742,0.065,0.675,0.315,5.32,1.4
37467390,-0.777,0.075,0.663,0.682,3.762,-1.312
37467390,-0.773,0.079,0.702,0.017,-0.437,-4.13
37467410,-0.71,0.07,0.726,-2.222,-4.287,-5.81
37467410,-0.639,0.045,0.698,-3.605,-3.99,-4.69
37467420,-0.629,0.032,0.682,-2.257,0.91,-2.117
37467430,-0.67,0.046,0.667,-0.157,7.332,-0.262
37467440,-0.73,0.058,0.612,0.91,11.042,-0.21
37467450,-0.807,0.082,0.562,1.12,9.485,-1.33
37467460,-0.884,0.093,0.637,-0.017,1.802,-3.587
37467470,-0.902,0.086,0.72,-3.342,-8.855,-6.387
37467480,-0.852,0.061,0.729,-6.002,-18.445,-7.49
37467490,-0.783,0.052,0.701,-4.987,-25.987,-5.88
37467500,-0.693,0.053,0.726,-3.762,-26.565,-2.502
37467510,-0.625,0.052,0.739,-4.217,-22.54,1.925
37467520,-0.595,0.047,0.708,-3.675,-15.365,6.44
37467530,-0.595,0.037,0.705,-1.575,-3.185,9.695
37467540,-0.619,0.041,0.696,0.21,7.735,9.852
37467550,-0.657,0.056,0.692,1.312,15.102,7.997
37467560,-0.702,0.071,0.691,2.747,21.14,5.005
37467570,-0.755,0.083,0.719,4.2,23.362,0.857
37467580,-0.784,0.094,0.726,4.042,22.925,-4.095
37467590,-0.797,0.102,0.701,3.57,22.82,-7.787
37467600,-0.808,0.106,0.693,3.15,19.372,-8.627
37467610,-0.775,0.105,0.74,2.012,15.802,-7.262
37467620,-0.694,0.061,0.728,-1.032,16.8,-4.165
37467630,-0.653,0.025,0.645,-2.065,18.077,-0.07
37467640,-0.682,0.023,0.627,-0.297,18.62,4.095
37467650,-0.753,0.044,0.645,1.155,20.125,7.21
37467660,-0.818,0.05,0.673,0.175,18.007,7.805
37467670,-0.829,0.053,0.655,-0.875,13.195,6.072
37467680,-0.817,0.056,0.637,-0.385,8.767,3.727
37467690,-0.814,0.064,0.647,-0.052,2.362,1.33
37467700,-0.816,0.07,0.641,-1.435,-2.467,-0.77
37467710,-0.818,0.068,0.636,-2.362,-7.175,-1.96
37467720,-0.807,0.059,0.654,-2.467,-12.67,-2.257
37467730,-0.769,0.052,0.689,-3.167,-16.555,-1.592
37467730,-0.713,0.042,0.688,-4.235,-17.99,0.385
37467750,-0.672,0.028,0.663,-4.13,-15.435,2.94
37467750,-0.711,0.028,0.593,-2.24,-12.95,3.885
37467760,-0.816,0.077,0.582,0.682,-16.432,2.66
37467770,-0.859,0.111,0.675,0.577,-21,0.052
37467780,-0.85,0.103,0.742,-3.045,-26.792,-2.397
37467790,-0.784,0.07,0.708,-5.075,-30.887,-3.71
37467800,-0.719,0.046,0.687,-2.887,-28.665,-2.87
37467810,-0.666,0.053,0.69,-1.032,-26.827,-1.155
37467820,-0.662,0.056,0.686,-1.575,-23.485,1.312
