#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
39136690,-1.185,0.558,1.079,-114.03,-49.857,13.527,
39136700,0.493,0.086,1.06,-63.315,-95.13,24.097,
39136710,0.104,0.069,0.988,-50.19,-83.58,22.155,
39136720,0.656,-0.307,1.079,-64.61,-59.15,20.37,
39136730,0.402,-0.11,1.017,-31.587,-26.11,18.585,
39136740,0.343,-0.119,0.992,-3.482,1.417,21.91,
39136750,0.194,-0.102,1.018,14.647,22.557,19.74,
39136760,0.064,0.203,0.994,28.227,34.562,14.245,
39136770,-0.04,0.251,0.976,25.077,37.24,10.272,
39136780,0.003,0.219,0.999,12.11,34.965,5.197,
39136790,-0.159,0.328,1,0.56,33.775,3.027,
39136800,-0.259,0.405,1.01,-15.925,25.672,0.42,
39136810,-0.155,0.417,1.07,-38.36,14.192,-3.797,
39136820,0.061,0.317,1.166,-63.297,10.797,-7.28,
39136830,0.102,0.338,1.225,-88.165,21.84,-14.262,
39136840,0.12,0.336,1.241,-117.845,40.95,-24.202,
39136850,-0.054,0.263,1.173,-158.637,56.927,-28.717,
39136860,-0.075,0.228,1.04,-202.79,60.025,-17.447,
39136870,-0.115,0.219,1.143,-233.117,49.7,-0.07,
39136880,-0.124,0.257,1.111,-254.975,44.31,15.802,
39136890,-0.097,0.051,1.201,-265.685,41.387,27.492,
39136900,0.116,0.017,1.308,-282.712,55.335,33.565,
39136910,0.203,-0.067,1.367,-282.012,92.872,46.375,
39136920,0.065,-0.232,1.398,-257.53,93.03,49.927,
39136920,0.111,-0.368,1.076,-207.462,51.765,52.867,
39136940,0.371,-0.188,0.709,-124.565,20.335,74.987,
39136940,0.567,0.512,0.513,-49.717,-9.275,111.317,
39136960,0.232,1.701,0.268,48.58,-51.432,127.295,
39136960,1.553,1.951,-0.392,169.032,-77.84,148.575,
39136980,1.327,1.596,-1.449,246.382,-83.51,179.182,
39136980,0.674,1.954,-1.218,282.275,-149.747,71.137,
39137000,-0.973,-0.203,1.222,138.215,-186.112,-19.18,
39137000,-1.998,-1.998,1.585,42.472,-210.875,-250.32,
